NA      | 103.29.63.253    | NA                  | LK | apnic    | 2011-05-17 | NA
NA      | 116.193.170.7    | NA                  |    | apnic    |            | NA
NA      | 128.41.128.20    | NA                  | GB | ripencc  | 2004-04-05 | NA
NA      | 140.221.249.130  | NA                  | US | arin     |            | NA
NA      | 151.217.169.22   | NA                  |    | ripencc  |            | NA
NA      | 178.169.89.46    | NA                  | RU | ripencc  | 2010-03-26 | NA
NA      | 185.7.69.2       | NA                  | DE | ripencc  | 2016-01-25 | NA
NA      | 185.98.107.127   | NA                  | NL | ripencc  | 2015-04-29 | NA
NA      | 186.47.134.142   | NA                  | EC | lacnic   | 2011-10-11 | NA
NA      | 192.252.240.60   | NA                  | US | arin     | 2014-09-03 | NA
NA      | 41.77.213.58     | NA                  | CM | afrinic  | 2012-05-02 | NA
NA      | 46.255.136.13    | NA                  | RU | ripencc  | 2010-12-30 | NA
NA      | 5.63.128.227     | NA                  | RU | ripencc  | 2012-06-12 | NA
NA      | 91.132.91.70     | NA                  | GR | ripencc  | 2006-10-27 | NA
NA      | 91.220.163.60    | NA                  | UA | ripencc  | 2010-11-22 | NA
NA      | 94.46.224.3      | NA                  | CY | ripencc  | 2008-06-03 | NA
2       | 128.4.25.72      | 128.4.0.0/16        | US | arin     |            | UDEL-DCN - University of Delaware,US
3       | 18.26.2.101      | 18.0.0.0/8          | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
4       | 128.9.160.18     | 128.9.0.0/16        | US | arin     |            | ISI-AS - University of Southern California,US
4       | 128.9.160.61     | 128.9.0.0/16        | US | arin     |            | ISI-AS - University of Southern California,US
16      | 128.3.125.136    | 128.3.0.0/16        | US | arin     |            | LBL - Lawrence Berkeley National Laboratory,US
17      | 128.210.125.26   | 128.210.0.0/16      | US | arin     |            | PURDUE - Purdue University,US
25      | 192.150.187.136  | 192.150.186.0/23    | US | arin     |            | UCB - University of California at Berkeley,US
27      | 128.8.128.197    | 128.8.0.0/16        | US | arin     |            | UMDNET - University of Maryland,US
52      | 169.232.255.61   | 169.232.0.0/16      | US | arin     |            | UCLA - University of California, Los Angeles,US
59      | 128.105.22.238   | 128.105.0.0/16      | US | arin     |            | WISC-MADISON-AS - University of Wisconsin Madison,US
59      | 144.92.67.60     | 144.92.0.0/16       | US | arin     |            | WISC-MADISON-AS - University of Wisconsin Madison,US
59      | 144.92.72.11     | 144.92.0.0/16       | US | arin     |            | WISC-MADISON-AS - University of Wisconsin Madison,US
73      | 128.208.4.14     | 128.208.0.0/16      | US | arin     |            | WASHINGTON-AS - University of Washington,US
87      | 129.79.9.107     | 129.79.0.0/16       | US | arin     |            | INDIANA-AS - Indiana University,US
87      | 129.79.9.174     | 129.79.0.0/16       | US | arin     |            | INDIANA-AS - Indiana University,US
92      | 128.153.22.74    | 128.153.0.0/18      | US | arin     |            | CLARKSON-AS - Clarkson University,US
103     | 165.124.183.76   | 165.124.176.0/21    | US | arin     |            | NWU-AS - Northwestern University,US
104     | 128.138.75.184   | 128.138.0.0/16      | US | arin     |            | COLORADO-AS - University of Colorado at Boulder,US
109     | 173.38.117.83    | 173.38.0.0/17       | US | arin     | 2008-08-15 | CISCOSYSTEMS - Cisco Systems, Inc.,US
109     | 64.101.169.210   | 64.101.128.0/18     | US | arin     | 2000-05-24 | CISCOSYSTEMS - Cisco Systems, Inc.,US
137     | 130.186.20.254   | 130.186.0.0/19      | IT | ripencc  |            | ASGARR Consortium GARR,IT
137     | 130.192.9.126    | 130.192.0.0/16      | IT | ripencc  |            | ASGARR Consortium GARR,IT
137     | 140.105.201.37   | 140.105.0.0/16      | IT | ripencc  |            | ASGARR Consortium GARR,IT
137     | 140.105.201.39   | 140.105.0.0/16      | IT | ripencc  |            | ASGARR Consortium GARR,IT
137     | 146.48.99.148    | 146.48.0.0/16       | IT | ripencc  |            | ASGARR Consortium GARR,IT
137     | 149.132.101.254  | 149.132.0.0/16      | IT | ripencc  |            | ASGARR Consortium GARR,IT
137     | 155.185.3.160    | 155.185.0.0/16      | IT | ripencc  |            | ASGARR Consortium GARR,IT
137     | 192.167.213.94   | 192.167.0.0/16      | IT | ripencc  |            | ASGARR Consortium GARR,IT
137     | 193.206.106.170  | 193.206.0.0/16      | IT | ripencc  |            | ASGARR Consortium GARR,IT
137     | 193.206.159.174  | 193.206.0.0/16      | IT | ripencc  |            | ASGARR Consortium GARR,IT
156     | 129.10.110.48    | 129.10.64.0/18      | US | arin     |            | NORTHEASTERN-GW-AS - Northeastern University,US
158     | 192.176.1.212    | 192.176.1.0/24      | SE | ripencc  | 2000-03-17 | ERI-AS - Ericsson Network Systems, Inc.,US
174     | 130.117.89.61    | 130.117.0.0/16      | US | arin     |            | COGENT-174 - Cogent Communications,US
174     | 149.6.190.58     | 149.6.0.0/15        | US | arin     |            | COGENT-174 - Cogent Communications,US
174     | 154.48.177.152   | 154.48.176.0/23     | US | arin     |            | COGENT-174 - Cogent Communications,US
174     | 154.51.138.138   | 154.48.0.0/12       | US | arin     |            | COGENT-174 - Cogent Communications,US
174     | 193.108.179.141  | 193.108.179.0/24    | DE | ripencc  | 2001-05-23 | COGENT-174 - Cogent Communications,US
174     | 206.125.57.40    | 206.125.56.0/23     | US | arin     | 2004-08-11 | COGENT-174 - Cogent Communications,US
174     | 37.157.32.2      | 37.157.32.0/21      | GB | ripencc  | 2012-03-14 | COGENT-174 - Cogent Communications,US
174     | 38.122.252.82    | 38.0.0.0/8          | US | arin     |            | COGENT-174 - Cogent Communications,US
174     | 38.140.101.147   | 38.0.0.0/8          | US | arin     |            | COGENT-174 - Cogent Communications,US
174     | 38.66.197.240    | 38.66.197.0/24      | US | arin     |            | COGENT-174 - Cogent Communications,US
174     | 38.66.26.182     | 38.66.16.0/20       | US | arin     |            | COGENT-174 - Cogent Communications,US
174     | 38.97.90.93      | 38.0.0.0/8          | US | arin     |            | COGENT-174 - Cogent Communications,US
195     | 198.202.127.170  | 198.202.112.0/20    | US | arin     |            | SDSC-AS - San Diego Supercomputer Center,US
209     | 174.18.7.101     | 174.16.0.0/12       | US | arin     | 2009-02-17 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 174.21.224.134   | 174.16.0.0/12       | US | arin     | 2009-02-17 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 174.22.27.41     | 174.16.0.0/12       | US | arin     | 2009-02-17 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 208.46.199.146   | 208.44.0.0/14       | US | arin     |            | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 63.153.18.4      | 63.144.0.0/12       | US | arin     | 2000-07-12 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 63.233.149.230   | 63.224.0.0/12       | US | arin     |            | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 65.128.135.42    | 65.128.0.0/11       | US | arin     | 2000-08-23 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 65.128.66.54     | 65.128.0.0/11       | US | arin     | 2000-08-23 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 67.132.135.26    | 67.128.0.0/13       | US | arin     | 2002-07-12 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 67.148.180.174   | 67.148.0.0/16       | US | arin     | 2002-12-17 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 67.41.123.6      | 67.40.0.0/15        | US | arin     | 2001-11-27 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 70.57.20.77      | 70.56.0.0/14        | US | arin     | 2004-06-18 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 70.59.128.168    | 70.56.0.0/14        | US | arin     | 2004-06-18 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 70.59.26.200     | 70.56.0.0/14        | US | arin     | 2004-06-18 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 71.212.26.196    | 71.208.0.0/12       | US | arin     | 2005-05-06 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 71.220.224.67    | 71.208.0.0/12       | US | arin     | 2005-05-06 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 71.221.76.92     | 71.208.0.0/12       | US | arin     | 2005-05-06 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 75.161.68.199    | 75.160.0.0/12       | US | arin     | 2006-10-24 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 75.164.173.159   | 75.160.0.0/12       | US | arin     | 2006-10-24 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 75.164.213.51    | 75.160.0.0/12       | US | arin     | 2006-10-24 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 75.165.56.96     | 75.160.0.0/12       | US | arin     | 2006-10-24 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 75.168.14.33     | 75.160.0.0/12       | US | arin     | 2006-10-24 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 76.1.176.150     | 76.1.160.0/19       | US | arin     | 2006-01-19 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 97.113.9.135     | 97.112.0.0/12       | US | arin     | 2007-12-19 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 97.114.106.67    | 97.112.0.0/12       | US | arin     | 2007-12-19 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 97.126.70.129    | 97.112.0.0/12       | US | arin     | 2007-12-19 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
217     | 134.84.88.118    | 134.84.0.0/16       | US | arin     |            | UMN-SYSTEM - University of Minnesota,US
224     | 128.39.134.112   | 128.39.0.0/16       | NO | ripencc  | 2004-04-05 | UNINETT UNINETT, The Norwegian University & Research Network,NO
224     | 128.39.73.195    | 128.39.0.0/16       | NO | ripencc  | 2004-04-05 | UNINETT UNINETT, The Norwegian University & Research Network,NO
224     | 129.241.209.153  | 129.240.0.0/15      | NO | ripencc  |            | UNINETT UNINETT, The Norwegian University & Research Network,NO
224     | 129.242.214.5    | 129.242.0.0/16      | NO | ripencc  |            | UNINETT UNINETT, The Norwegian University & Research Network,NO
224     | 158.36.173.247   | 158.36.0.0/14       | NO | ripencc  |            | UNINETT UNINETT, The Norwegian University & Research Network,NO
224     | 158.38.100.163   | 158.36.0.0/14       | NO | ripencc  |            | UNINETT UNINETT, The Norwegian University & Research Network,NO
224     | 158.38.12.26     | 158.36.0.0/14       | NO | ripencc  |            | UNINETT UNINETT, The Norwegian University & Research Network,NO
224     | 158.38.140.179   | 158.36.0.0/14       | NO | ripencc  |            | UNINETT UNINETT, The Norwegian University & Research Network,NO
224     | 158.39.4.2       | 158.36.0.0/14       | NO | ripencc  |            | UNINETT UNINETT, The Norwegian University & Research Network,NO
224     | 158.39.94.134    | 158.36.0.0/14       | NO | ripencc  |            | UNINETT UNINETT, The Norwegian University & Research Network,NO
224     | 193.157.229.95   | 193.156.0.0/15      | NO | ripencc  |            | UNINETT UNINETT, The Norwegian University & Research Network,NO
237     | 192.122.200.170  | 192.122.200.0/24    | US | arin     |            | MERIT-AS-14 - Merit Network Inc.,US
237     | 207.72.6.201     | 207.72.0.0/14       | US | arin     |            | MERIT-AS-14 - Merit Network Inc.,US
239     | 128.100.103.20   | 128.100.0.0/16      | CA | arin     |            | UTORONTO-AS - University of Toronto,CA
250     | 194.150.169.30   | 194.150.168.0/23    | DE | ripencc  | 2004-09-15 | SACREDCHAO-AS AS250.net Foundation,DE
251     | 79.141.161.251   | 79.141.161.0/24     | GB | ripencc  | 2007-10-23 | KAIAGLOBAL-AS Kaia Global Networks Ltd.,GB
251     | 79.141.174.251   | 79.141.174.0/24     | GB | ripencc  | 2007-10-23 | KAIAGLOBAL-AS Kaia Global Networks Ltd.,GB
251     | 95.141.20.49     | 95.141.20.0/24      | GB | ripencc  | 2009-05-04 | KAIAGLOBAL-AS Kaia Global Networks Ltd.,GB
260     | 185.19.100.57    | 185.19.100.0/23     | NL | ripencc  | 2013-02-20 | XCONNECT24 - Xconnect24 Inc.,US
271     | 142.231.1.210    | 142.231.1.0/24      | CA | arin     |            | BCNET-AS - BCnet,CA
286     | 145.133.145.71   | 145.133.0.0/16      | NL | ripencc  |            | KPN KPN International / KPN Eurorings,NL
286     | 46.144.7.89      | 46.144.0.0/16       | NL | ripencc  | 2010-10-04 | KPN KPN International / KPN Eurorings,NL
286     | 62.41.77.242     | 62.41.64.0/20       | NL | ripencc  | 2000-05-10 | KPN KPN International / KPN Eurorings,NL
286     | 77.160.227.32    | 77.160.0.0/14       | NL | ripencc  | 2006-11-02 | KPN KPN International / KPN Eurorings,NL
286     | 77.160.35.62     | 77.160.0.0/14       | NL | ripencc  | 2006-11-02 | KPN KPN International / KPN Eurorings,NL
286     | 77.164.206.51    | 77.164.0.0/14       | NL | ripencc  | 2006-11-02 | KPN KPN International / KPN Eurorings,NL
286     | 77.171.33.119    | 77.170.0.0/15       | NL | ripencc  | 2006-11-02 | KPN KPN International / KPN Eurorings,NL
286     | 80.60.162.143    | 80.60.0.0/16        | NL | ripencc  | 2001-06-15 | KPN KPN International / KPN Eurorings,NL
286     | 80.61.160.246    | 80.61.0.0/16        | NL | ripencc  | 2001-06-15 | KPN KPN International / KPN Eurorings,NL
286     | 81.205.117.82    | 81.204.0.0/15       | NL | ripencc  | 2002-10-16 | KPN KPN International / KPN Eurorings,NL
286     | 81.207.128.83    | 81.206.0.0/15       | NL | ripencc  | 2002-10-16 | KPN KPN International / KPN Eurorings,NL
286     | 84.83.196.210    | 84.80.0.0/14        | NL | ripencc  | 2004-03-17 | KPN KPN International / KPN Eurorings,NL
